address,id,latitude,location_type,longitude,title,url
"111 E 8th St, Austin, TX 78701, USA",14004,30.2697587,[13],-97.7418995,Location 319,https://www.atxstudiotour.com/location/location-319/
"906 E 5th St, Ste 109, Austin, TX 78702",14003,30.264688,[17],-97.733421,Location 318,https://www.atxstudiotour.com/location/location-318/
"6100 Airport Blvd, Austin, TX 78752",14001,30.2918039,[13],-97.7077086,Location 316,https://www.atxstudiotour.com/location/location-316/
"2438 W Anderson Ln, Ste B-4, Austin, TX 78757",14000,30.3576834,[16],-97.7313148,Location 315,https://www.atxstudiotour.com/location/location-315/
"311 W 7th St, Unit 307, Austin, TX 78701",13999,30.26977,[8],-97.745806,Location 314,https://www.atxstudiotour.com/location/location-314/
,13998,,[13],,Location 313,https://www.atxstudiotour.com/location/location-313/
"2802 Benbrook Dr, Austin, TX 78757",13997,30.370482,[15],-97.7326134,Location 312,https://www.atxstudiotour.com/location/location-312/
"1407 E 7th St, Austin, TX 78702, USA",13996,30.2642994,[15],-97.7275992,Location 311,https://www.atxstudiotour.com/location/location-311/
"1813 Piedmont Ave, Austin, TX 78757",13995,30.345544,[15],-97.7306205,Location 310,https://www.atxstudiotour.com/location/location-310/
"1148 Richardine Ave, Austin, TX 78721",13994,30.271325,[15],-97.6858537,Location 309,https://www.atxstudiotour.com/location/location-309/
"3804 Cherrywood Rd, Austin, TX 78722",13993,30.2915935,[5],-97.7139829,Location 308,https://www.atxstudiotour.com/location/location-308/
"5555 N Lamar Blvd, Ste C109, Austin, TX 78751",13992,30.323714,[11],-97.7254401,Location 307,https://www.atxstudiotour.com/location/location-307/
"3232 E Cesar Chavez St, Austin, TX 78702",13991,30.2518024,[11],-97.7076983,Location 306,https://www.atxstudiotour.com/location/location-306/
"2828 Guadalupe St, Austin, TX 78705",13990,30.295019,[4],-97.743089,Location 305,https://www.atxstudiotour.com/location/location-305/
"1101 Navasota St, Ste 1, Austin, TX 78702",13989,30.2688365,[8],-97.7266964,Location 304,https://www.atxstudiotour.com/location/location-304/
"1501 W 9th St, Austin, TX 78703",13988,30.276751,[15],-97.7595618,Location 303,https://www.atxstudiotour.com/location/location-303/
"419 Congress Ave, Austin, TX 78701",13987,30.2668387,[10],-97.7428149,Location 302,https://www.atxstudiotour.com/location/location-302/
"820 Shelby Ln, Unit 106, Austin, TX 78745",13986,30.212221,[10],-97.759252,Location 301,https://www.atxstudiotour.com/location/location-301/
"1601 Miriam Ave, Unit 303, Austin, TX 78702",13985,30.2775479,[15],-97.7108827,Location 300,https://www.atxstudiotour.com/location/location-300/
"8711 Burnet Rd, Ste F72, Austin, TX 78757",13984,30.369319,[7],-97.7267022,Location 299,https://www.atxstudiotour.com/location/location-299/
"8702 Texas Oaks Dr, Austin, TX 78748",13983,30.181822,[15],-97.8126616,Location 298,https://www.atxstudiotour.com/location/location-298/
"4210 Ave D, Austin, TX 78751",13982,30.3065705,[15],-97.731215,Location 297,https://www.atxstudiotour.com/location/location-297/
"227 Congress Ave, Austin, TX 78701",13981,30.26503,[8],-97.7435717,Location 296,https://www.atxstudiotour.com/location/location-296/
"1106 E 11th St, Austin, TX 78702",13980,30.269149,[7],-97.728437,Location 295,https://www.atxstudiotour.com/location/location-295/
"5206 Joe Sayers Ave, Austin, TX 78756",13979,30.3236705,[15],-97.7380351,Location 294,https://www.atxstudiotour.com/location/location-294/
"1127 Tillery St, Austin, TX 78702",13978,30.26851,[8],-97.700674,Location 293,https://www.atxstudiotour.com/location/location-293/
"6800 Meadow Run, Austin, TX 78745",13977,30.1992325,[15],-97.7979142,Location 292,https://www.atxstudiotour.com/location/location-292/
"10300 Metric Blvd, Ste 250, Austin, TX 78758",13976,30.3821056,[8],-97.7143845,Location 291,https://www.atxstudiotour.com/location/location-291/
"1900 E 12th St, Austin, TX 78702",13975,30.27394,[8],-97.719762,Location 290,https://www.atxstudiotour.com/location/location-290/
"112 Medina St, Austin, TX 78702",13974,30.260471,[5],-97.7336077,Location 289,https://www.atxstudiotour.com/location/location-289/
"4615 Spicewood Springs Rd, Austin, TX 78759",13973,30.3755371,[18],-97.7621293,Location 288,https://www.atxstudiotour.com/location/location-288/
"218 S Lamar Blvd, Ste 140, Austin, TX 78704",13972,30.263458,[8],-97.7580932,Location 287,https://www.atxstudiotour.com/location/location-287/
"2307 Manor Rd, Ste 2135, Austin, TX 78722",13971,30.2838638,[7],-97.7174453,Location 286,https://www.atxstudiotour.com/location/location-286/
"9909 FM 969, Bldg 6A, Austin, TX 78724",13970,30.2829525,[10],-97.6536147,Location 285,https://www.atxstudiotour.com/location/location-285/
"901 Vargas Rd, Austin, TX 78741",13969,30.2334845,[9],-97.6938335,Location 284,https://www.atxstudiotour.com/location/location-284/
"7107 E Riverside Dr, Austin, TX 78741",13968,30.2218087,[6],-97.695956,Location 283,https://www.atxstudiotour.com/location/location-283/
"3106 Industrial Terrace, Austin, TX 78758",13967,30.381213,[5],-97.730859,Location 282,https://www.atxstudiotour.com/location/location-282/
"1165 Angelina St, Austin, TX 78702",13966,30.270186,[3],-97.724396,Location 281,https://www.atxstudiotour.com/location/location-281/
"1712 E 11th St, Austin, TX 78702",13965,30.2672105,[17],-97.7221762,Location 280,https://www.atxstudiotour.com/location/location-280/
"1400 Barton Hills Dr, Unit A, Austin, TX 76112",13964,30.2614855,[15],-97.7766992,Location 279,https://www.atxstudiotour.com/location/location-279/
"505 W 14th St, Austin, TX 78701",13963,30.277266,[17],-97.7451076,Location 278,https://www.atxstudiotour.com/location/location-278/
"5501 N Lamar Blvd, Ste C125, Austin, TX 78751",13962,30.323263,[9],-97.7275775,Location 277,https://www.atxstudiotour.com/location/location-277/
"7801 Whitsun Dr, Unit B, Austin, TX 78749",13961,30.2055185,[15],-97.8371254,Location 276,https://www.atxstudiotour.com/location/location-276/
"9701 Dessau Rd, Ste 302, Austin, TX 78754",13960,30.354765,[5],-97.672592,Location 275,https://www.atxstudiotour.com/location/location-275/
"4119 Berkman Dr, Austin, TX 78723",13959,30.293979,[15],-97.699744,Location 274,https://www.atxstudiotour.com/location/location-274/
"2415C E 5th St, Austin, TX 78702",13958,30.2587531,[6],-97.7174443,Location 273,https://www.atxstudiotour.com/location/location-273/
,13957,,[209],,Location 271,https://www.atxstudiotour.com/location/location-271/
,13956,,[209],,Location 270,https://www.atxstudiotour.com/location/location-270/
"3412 E 5th St., Austin, TX 78702, USA",13955,30.2544535,[209],-97.7039731,Location 269,https://www.atxstudiotour.com/location/location-269/
"12166 Metric Blvd, Unit 234, Austin, TX 78758",13954,30.4047581,[15],-97.69796,Location 268,https://www.atxstudiotour.com/location/location-268/
"6503 Sunstrip Dr, Austin, TX 78745",13953,30.197146,[9],-97.7824685,Location 267,https://www.atxstudiotour.com/location/location-267/
"13200 Pond Springs Rd, Ste A105, Austin, TX 78729",13952,30.4453023,[16],-97.7788748,Location 266,https://www.atxstudiotour.com/location/location-266/
