location,classification
16,hang
70,hang
101,hang
103,hang
107,hang
113,hang
135,hang
176,hang
179,hang
184,hang
185,hang
191,hang
193,hang
194,hang
198,hang
235,hang
238,hang
261,hang
286,hang
309,hang
109,hang
20,group
38,group
49,group
45,group
47,group
69,group
73,group
90,group
174,group
282,group
124,complex
123,complex
128,complex
187,complex
192,complex
199,complex
244,complex
252,complex
275,complex
285,complex
311,complex
50,cool
78,cool
81,cool
89,cool
95,cool
104,cool
105,cool
112,cool
126,cool
133,cool
136,cool
137,cool
139,cool
141,cool
142,cool
145,cool
148,cool
158,cool
159,cool
161,cool
165,cool
166,cool
174,cool
186,cool
188,cool
189,cool
197,cool
200,cool
206,cool
210,cool
212,cool
217,cool
229,cool
233,cool
241,cool
242,cool
247,cool
248,cool
250,cool
251,cool
262,cool
263,cool
267,cool
268,cool
